task,model,fold,test_subject,train_size,test_size,train_time,test_time,accuracy,precision,recall,f1
WESAD_3class,Logistic Regression,12,14,450,70,0.0211,0.0,0.5,0.746376811594203,0.6929824561403509,0.5107687918984453
WESAD_3class,SVM (RBF),12,14,450,70,0.0237,0.006,0.42857142857142855,0.48855218855218857,0.5845295055821372,0.4370796531885584
WESAD_3class,Random Forest,12,14,450,70,0.3354,0.0333,0.4,0.4313601127554616,0.5239234449760766,0.4151593453919036
WESAD_3class,Logistic Regression,13,15,450,71,0.0087,0.0,0.676056338028169,0.6816239316239318,0.5518341307814992,0.5509356432894664
WESAD_3class,SVM (RBF),13,15,450,71,0.0278,0.0025,0.6901408450704225,0.6754385964912281,0.6834130781499203,0.6238482384823848
WESAD_3class,Random Forest,13,15,450,71,0.3329,0.0294,0.7464788732394366,0.7771428571428571,0.6818181818181818,0.6621316614420062
WESAD_3class,Logistic Regression,14,16,450,72,0.0123,0.0,0.4861111111111111,0.7430555555555555,0.6837606837606837,0.49014744384731984
WESAD_3class,SVM (RBF),14,16,450,72,0.0252,0.0029,0.4861111111111111,0.7430555555555555,0.6837606837606837,0.49014744384731984
WESAD_3class,Random Forest,14,16,450,72,0.4249,0.0461,0.5833333333333334,0.5675971538040504,0.526029526029526,0.5404411764705882
WESAD_3class,Logistic Regression,15,17,450,72,0.0259,0.0,0.8333333333333334,0.8810344827586207,0.7224880382775121,0.7283272283272283
WESAD_3class,SVM (RBF),15,17,450,72,0.0278,0.0033,0.9583333333333334,0.9647863247863248,0.9090909090909092,0.9291505278347384
WESAD_3class,Random Forest,15,17,450,72,0.5029,0.0709,0.8333333333333334,0.5629877369007804,0.6578947368421053,0.6065759637188209
DREAMER_binary_EEG,Logistic Regression,1,1,300,18,0.0569,0.0,0.5,0.5833333333333334,0.5923076923076923,0.4984520123839009
DREAMER_binary_EEG,SVM (RBF),1,1,300,18,0.0232,0.0042,0.6111111111111112,0.48214285714285715,0.48461538461538467,0.48148148148148145
DREAMER_binary_EEG,Random Forest,1,1,300,18,0.2537,0.0434,0.5555555555555556,0.4461538461538461,0.4461538461538461,0.4461538461538461
DREAMER_binary_EEG,Logistic Regression,2,2,300,18,0.0645,0.0,0.5,0.5,0.5,0.4984520123839009
DREAMER_binary_EEG,SVM (RBF),2,2,300,18,0.0255,0.0005,0.4444444444444444,0.4307692307692308,0.4444444444444444,0.41558441558441556
DREAMER_binary_EEG,Random Forest,2,2,300,18,0.4238,0.0614,0.3888888888888889,0.3392857142857143,0.38888888888888884,0.3377926421404682
DREAMER_binary_EEG,Logistic Regression,3,3,300,18,0.053,0.0,0.5,0.4107142857142857,0.43506493506493504,0.4109090909090909
DREAMER_binary_EEG,SVM (RBF),3,3,300,18,0.0406,0.0,0.5555555555555556,0.29411764705882354,0.45454545454545453,0.35714285714285715
DREAMER_binary_EEG,Random Forest,3,3,300,18,0.3951,0.0297,0.4444444444444444,0.7058823529411764,0.5454545454545454,0.375
DREAMER_binary_EEG,Logistic Regression,4,4,300,18,0.0474,0.0,0.2777777777777778,0.25,0.19230769230769232,0.21739130434782608
DREAMER_binary_EEG,SVM (RBF),4,4,300,18,0.0243,0.0,0.3888888888888889,0.2916666666666667,0.2692307692307692,0.28
DREAMER_binary_EEG,Random Forest,4,4,300,18,0.3013,0.0485,0.2222222222222222,0.2222222222222222,0.15384615384615385,0.18181818181818182
DREAMER_binary_EEG,Logistic Regression,5,5,300,18,0.0472,0.0,0.5,0.512987012987013,0.5125,0.4984520123839009
DREAMER_binary_EEG,SVM (RBF),5,5,300,18,0.0237,0.0,0.3888888888888889,0.39230769230769236,0.4125,0.37142857142857144
DREAMER_binary_EEG,Random Forest,5,5,300,18,0.2993,0.0427,0.3888888888888889,0.3701298701298701,0.375,0.37142857142857144
DREAMER_binary_EEG,Logistic Regression,6,6,300,18,0.0329,0.0,0.4444444444444444,0.4625,0.45833333333333337,0.4375
DREAMER_binary_EEG,SVM (RBF),6,6,300,18,0.0267,0.0,0.3888888888888889,0.45384615384615384,0.4583333333333333,0.38699690402476783
DREAMER_binary_EEG,Random Forest,6,6,300,18,0.2686,0.0612,0.5,0.5923076923076923,0.5833333333333334,0.4984520123839009
DREAMER_binary_EEG,Logistic Regression,7,7,300,18,0.0552,0.0,0.8333333333333334,0.8928571428571428,0.7857142857142857,0.8036363636363637
DREAMER_binary_EEG,SVM (RBF),7,7,300,18,0.0213,0.0,0.6666666666666666,0.8235294117647058,0.5714285714285714,0.5178571428571428
DREAMER_binary_EEG,Random Forest,7,7,300,18,0.3803,0.0551,0.3888888888888889,0.4375,0.474025974025974,0.3377926421404682
DREAMER_binary_EEG,Logistic Regression,8,8,300,18,0.049,0.0,0.2777777777777778,0.25,0.19230769230769232,0.21739130434782608
DREAMER_binary_EEG,SVM (RBF),8,8,300,18,0.0249,0.0,0.5555555555555556,0.3333333333333333,0.38461538461538464,0.35714285714285715
DREAMER_binary_EEG,Random Forest,8,8,300,18,0.2717,0.0304,0.7222222222222222,0.625,0.5615384615384615,0.5566502463054187
DREAMER_binary_EEG,Logistic Regression,9,9,300,18,0.0376,0.0,0.3888888888888889,0.3625,0.3307692307692308,0.3377926421404682
DREAMER_binary_EEG,SVM (RBF),9,9,300,18,0.021,0.0,0.2777777777777778,0.1388888888888889,0.5,0.21739130434782608
DREAMER_binary_EEG,Random Forest,9,9,300,18,0.2302,0.0382,0.5555555555555556,0.6103896103896104,0.6307692307692307,0.55
DREAMER_binary_EEG,Logistic Regression,10,10,300,18,0.0327,0.004,0.5555555555555556,0.5324675324675324,0.5324675324675324,0.5324675324675324
DREAMER_binary_EEG,SVM (RBF),10,10,300,18,0.0214,0.0069,0.7222222222222222,0.84375,0.6428571428571428,0.6296296296296295
DREAMER_binary_EEG,Random Forest,10,10,300,18,0.3105,0.0342,0.5,0.4107142857142857,0.43506493506493504,0.4109090909090909
DREAMER_binary_EEG,Logistic Regression,11,11,300,18,0.0365,0.0,0.6666666666666666,0.6666666666666667,0.6753246753246753,0.6625
DREAMER_binary_EEG,SVM (RBF),11,11,300,18,0.0255,0.0,0.4444444444444444,0.4444444444444444,0.44155844155844154,0.4375
DREAMER_binary_EEG,Random Forest,11,11,300,18,0.3001,0.0471,0.4444444444444444,0.4444444444444444,0.44155844155844154,0.4375
DREAMER_binary_EEG,Logistic Regression,12,12,300,18,0.0519,0.0,0.5555555555555556,0.5357142857142857,0.525,0.5
DREAMER_binary_EEG,SVM (RBF),12,12,300,18,0.0169,0.0071,0.5,0.43333333333333335,0.4625,0.4109090909090909
DREAMER_binary_EEG,Random Forest,12,12,300,18,0.2262,0.0291,0.6111111111111112,0.6692307692307693,0.6375,0.6
DREAMER_binary_EEG,Logistic Regression,13,13,300,18,0.0415,0.0,0.4444444444444444,0.4375,0.4375,0.4375
DREAMER_binary_EEG,SVM (RBF),13,13,300,18,0.028,0.0,0.5555555555555556,0.2777777777777778,0.5,0.35714285714285715
DREAMER_binary_EEG,Random Forest,13,13,300,18,0.3,0.0471,0.5555555555555556,0.53125,0.5125,0.4461538461538461
DREAMER_binary_EEG,Logistic Regression,14,14,300,18,0.0594,0.0,0.3333333333333333,0.35,0.3333333333333333,0.325
DREAMER_binary_EEG,SVM (RBF),14,14,300,18,0.0223,0.0046,0.3333333333333333,0.16666666666666666,0.5,0.25
