task,ansatz,n_qubits,reps,entanglement,config,fold,test_subject,train_time,test_time,status,accuracy,precision,recall,f1
WESAD_binary_VQC,RealAmplitudes,4,1,linear,RealAmplitudes_n4_r1_linear,14,16,84.07,0.7848,ok,0.47540983606557374,0.4912854030501089,0.49067599067599066,0.47186147186147187
WESAD_binary_VQC,RealAmplitudes,4,1,linear,RealAmplitudes_n4_r1_linear,15,17,81.78,0.7217,ok,0.5737704918032787,0.593956043956044,0.5978260869565217,0.5727370689655172
WESAD_binary_VQC,RealAmplitudes,4,1,circular,RealAmplitudes_n4_r1_circular,1,2,81.05,0.7161,ok,0.5714285714285714,0.5896774193548387,0.5988620199146515,0.5664516129032258
WESAD_binary_VQC,RealAmplitudes,4,1,circular,RealAmplitudes_n4_r1_circular,2,3,85.96,0.6674,ok,0.49122807017543857,0.5151515151515151,0.5162162162162163,0.4887101763068358
WESAD_binary_VQC,RealAmplitudes,4,1,circular,RealAmplitudes_n4_r1_circular,3,4,83.88,0.5917,ok,0.45614035087719296,0.47916666666666663,0.47770270270270276,0.45344880915558305
WESAD_binary_VQC,RealAmplitudes,4,1,circular,RealAmplitudes_n4_r1_circular,4,5,81.33,0.7043,ok,0.6610169491525424,0.6532258064516129,0.6705128205128206,0.6488095238095238
WESAD_binary_VQC,RealAmplitudes,4,1,circular,RealAmplitudes_n4_r1_circular,5,6,83.36,0.7066,ok,0.4745762711864407,0.4458333333333333,0.4429824561403509,0.44322678843226787
WESAD_binary_VQC,RealAmplitudes,4,1,circular,RealAmplitudes_n4_r1_circular,6,7,81.88,0.7803,ok,0.4067796610169492,0.45384615384615384,0.45384615384615384,0.4067796610169492
WESAD_binary_VQC,RealAmplitudes,4,1,circular,RealAmplitudes_n4_r1_circular,7,8,80.63,0.7617,ok,0.4915254237288136,0.46882352941176475,0.4667919799498747,0.46557971014492755
WESAD_binary_VQC,RealAmplitudes,4,1,circular,RealAmplitudes_n4_r1_circular,8,9,83.38,0.6776,ok,0.41379310344827586,0.42908653846153844,0.4223684210526316,0.4074519230769231
WESAD_binary_VQC,RealAmplitudes,4,1,circular,RealAmplitudes_n4_r1_circular,9,10,83.9,0.7632,ok,0.55,0.5456062291434928,0.549043062200957,0.5396419437340154
WESAD_binary_VQC,RealAmplitudes,4,1,circular,RealAmplitudes_n4_r1_circular,10,11,85.82,0.7309,ok,0.4745762711864407,0.4458333333333333,0.4429824561403509,0.44322678843226787
WESAD_binary_VQC,RealAmplitudes,4,1,circular,RealAmplitudes_n4_r1_circular,11,13,90.58,0.7758,ok,0.4745762711864407,0.4866898148148148,0.4855889724310777,0.4690856313497823
WESAD_binary_VQC,RealAmplitudes,4,1,circular,RealAmplitudes_n4_r1_circular,12,14,28.43,0.1765,ok,0.6271186440677966,0.6462703962703963,0.6572681704260652,0.6244212962962963
WESAD_binary_VQC,RealAmplitudes,4,1,circular,RealAmplitudes_n4_r1_circular,13,15,19.83,0.1789,ok,0.5,0.5277777777777778,0.5287081339712918,0.4994438264738599
WESAD_binary_VQC,RealAmplitudes,4,1,circular,RealAmplitudes_n4_r1_circular,14,16,20.41,0.1868,ok,0.6229508196721312,0.6083877995642701,0.615967365967366,0.6077718758736371
WESAD_binary_VQC,RealAmplitudes,4,1,circular,RealAmplitudes_n4_r1_circular,15,17,20.79,0.2234,ok,0.5737704918032787,0.5604575163398693,0.5635011441647597,0.5594444444444444
WESAD_binary_VQC,EfficientSU2,3,1,linear,EfficientSU2_n3_r1_linear,1,2,18.41,0.1586,ok,0.5357142857142857,0.49523809523809526,0.49502133712660024,0.4944444444444444
WESAD_binary_VQC,EfficientSU2,3,1,linear,EfficientSU2_n3_r1_linear,2,3,18.71,0.196,ok,0.49122807017543857,0.5043424317617866,0.5047297297297297,0.48552754435107376
WESAD_binary_VQC,EfficientSU2,3,1,linear,EfficientSU2_n3_r1_linear,3,4,21.46,0.6783,ok,0.40350877192982454,0.420625,0.41418918918918923,0.39888337468982626
WESAD_binary_VQC,EfficientSU2,3,1,linear,EfficientSU2_n3_r1_linear,4,5,82.2,0.551,ok,0.5254237288135594,0.49523809523809526,0.4948717948717949,0.4926289926289926
WESAD_binary_VQC,EfficientSU2,3,1,linear,EfficientSU2_n3_r1_linear,5,6,79.66,0.778,ok,0.5423728813559322,0.5448275862068965,0.5488721804511278,0.533801580333626
WESAD_binary_VQC,EfficientSU2,3,1,linear,EfficientSU2_n3_r1_linear,6,7,78.76,0.7973,ok,0.4745762711864407,0.48271889400921664,0.4807692307692308,0.46473514779045944
WESAD_binary_VQC,EfficientSU2,3,1,linear,EfficientSU2_n3_r1_linear,7,8,79.4,0.5422,ok,0.5254237288135594,0.543123543123543,0.5463659147869674,0.5219907407407407
WESAD_binary_VQC,EfficientSU2,3,1,linear,EfficientSU2_n3_r1_linear,8,9,78.27,0.7112,ok,0.5862068965517241,0.5612745098039216,0.5657894736842105,0.5606060606060606
WESAD_binary_VQC,EfficientSU2,3,1,linear,EfficientSU2_n3_r1_linear,9,10,79.87,0.7112,ok,0.6,0.583710407239819,0.5885167464114832,0.5833333333333333
WESAD_binary_VQC,EfficientSU2,3,1,linear,EfficientSU2_n3_r1_linear,10,11,78.37,0.6572,ok,0.576271186440678,0.5891203703703703,0.5964912280701754,0.5718432510885341
WESAD_binary_VQC,EfficientSU2,3,1,linear,EfficientSU2_n3_r1_linear,11,13,77.99,0.6757,ok,0.4915254237288136,0.49884792626728114,0.4987468671679198,0.48426573426573427
WESAD_binary_VQC,EfficientSU2,3,1,linear,EfficientSU2_n3_r1_linear,12,14,78.21,0.646,ok,0.5084745762711864,0.5109195402298851,0.5119047619047619,0.4992683640620427
WESAD_binary_VQC,EfficientSU2,3,1,linear,EfficientSU2_n3_r1_linear,13,15,79.62,0.7638,ok,0.5833333333333334,0.5628571428571428,0.5657894736842105,0.5628096764791606
WESAD_binary_VQC,EfficientSU2,3,1,linear,EfficientSU2_n3_r1_linear,14,16,80.04,0.7194,ok,0.47540983606557374,0.5208333333333333,0.5203962703962703,0.4752688172043011
WESAD_binary_VQC,EfficientSU2,3,1,linear,EfficientSU2_n3_r1_linear,15,17,78.92,0.7247,ok,0.45901639344262296,0.48855835240274603,0.48855835240274603,0.45901639344262296
WESAD_binary_VQC,EfficientSU2,3,1,circular,EfficientSU2_n3_r1_circular,1,2,81.9,0.8043,ok,0.5,0.49425287356321834,0.49359886201991465,0.4835309617918314
WESAD_binary_VQC,EfficientSU2,3,1,circular,EfficientSU2_n3_r1_circular,2,3,71.17,0.6546,ok,0.5263157894736842,0.47368421052631576,0.47432432432432436,0.47384615384615386
WESAD_binary_VQC,EfficientSU2,3,1,circular,EfficientSU2_n3_r1_circular,3,4,83.44,0.375,ok,0.43859649122807015,0.45625,0.45270270270270274,0.43424317617866004
WESAD_binary_VQC,EfficientSU2,3,1,circular,EfficientSU2_n3_r1_circular,4,5,82.23,0.7507,ok,0.4745762711864407,0.5047619047619047,0.5051282051282051,0.4721500721500721
WESAD_binary_VQC,EfficientSU2,3,1,circular,EfficientSU2_n3_r1_circular,5,6,81.51,0.6678,ok,0.559322033898305,0.5668202764976958,0.5726817042606516,0.553030303030303
WESAD_binary_VQC,EfficientSU2,3,1,circular,EfficientSU2_n3_r1_circular,6,7,80.51,0.6839,ok,0.559322033898305,0.5734953703703703,0.5814102564102563,0.553030303030303
WESAD_binary_VQC,EfficientSU2,3,1,circular,EfficientSU2_n3_r1_circular,7,8,80.5,0.7579,ok,0.4915254237288136,0.46882352941176475,0.4667919799498747,0.46557971014492755
WESAD_binary_VQC,EfficientSU2,3,1,circular,EfficientSU2_n3_r1_circular,8,9,80.39,0.6872,ok,0.5344827586206896,0.5569696969696969,0.5618421052631579,0.5309973045822103
WESAD_binary_VQC,EfficientSU2,3,1,circular,EfficientSU2_n3_r1_circular,9,10,79.82,0.719,ok,0.4,0.3680555555555556,0.36363636363636365,0.36545240893066977
WESAD_binary_VQC,EfficientSU2,3,1,circular,EfficientSU2_n3_r1_circular,10,11,82.37,0.7156,ok,0.4915254237288136,0.5423076923076923,0.5413533834586466,0.4913793103448276
WESAD_binary_VQC,EfficientSU2,3,1,circular,EfficientSU2_n3_r1_circular,11,13,80.68,0.7037,ok,0.4576271186440678,0.45517241379310347,0.45112781954887216,0.4447058823529412
WESAD_binary_VQC,EfficientSU2,3,1,circular,EfficientSU2_n3_r1_circular,12,14,79.4,0.7184,ok,0.4915254237288136,0.48908045977011494,0.4880952380952381,0.47941176470588237
WESAD_binary_VQC,EfficientSU2,3,1,circular,EfficientSU2_n3_r1_circular,13,15,81.41,0.8057,ok,0.5333333333333333,0.5424107142857143,0.5454545454545454,0.5286195286195287
WESAD_binary_VQC,EfficientSU2,3,1,circular,EfficientSU2_n3_r1_circular,14,16,81.65,0.722,ok,0.45901639344262296,0.47912087912087914,0.47785547785547783,0.45668016194331984
WESAD_binary_VQC,EfficientSU2,3,1,circular,EfficientSU2_n3_r1_circular,15,17,79.44,0.7448,ok,0.5081967213114754,0.5102150537634409,0.5108695652173914,0.5016339869281046
WESAD_binary_VQC,EfficientSU2,4,1,linear,EfficientSU2_n4_r1_linear,1,2,93.39,0.7978,ok,0.5892857142857143,0.5892857142857143,0.5995732574679943,0.5783960720130933
WESAD_binary_VQC,EfficientSU2,4,1,linear,EfficientSU2_n4_r1_linear,2,3,93.23,0.7594,ok,0.5263157894736842,0.5511363636363636,0.5547297297297298,0.5239715434580885
WESAD_binary_VQC,EfficientSU2,4,1,linear,EfficientSU2_n4_r1_linear,3,4,95.38,0.7395,ok,0.5087719298245614,0.5275000000000001,0.5297297297297298,0.5049627791563276
WESAD_binary_VQC,EfficientSU2,4,1,linear,EfficientSU2_n4_r1_linear,4,5,93.69,0.8223,ok,0.576271186440678,0.5428743961352657,0.5455128205128206,0.5426356589147286
WESAD_binary_VQC,EfficientSU2,4,1,linear,EfficientSU2_n4_r1_linear,5,6,93.57,0.9476,ok,0.6101694915254238,0.5863095238095238,0.5908521303258145,0.5869101978691019
WESAD_binary_VQC,EfficientSU2,4,1,linear,EfficientSU2_n4_r1_linear,6,7,94.85,0.8111,ok,0.5932203389830508,0.5751748251748252,0.5826923076923077,0.572463768115942
WESAD_binary_VQC,EfficientSU2,4,1,linear,EfficientSU2_n4_r1_linear,7,8,94.84,0.7264,ok,0.5423728813559322,0.5448275862068965,0.5488721804511278,0.533801580333626
WESAD_binary_VQC,EfficientSU2,4,1,linear,EfficientSU2_n4_r1_linear,8,9,94.96,0.7737,ok,0.5172413793103449,0.4901960784313726,0.48947368421052634,0.4873737373737374
WESAD_binary_VQC,EfficientSU2,4,1,linear,EfficientSU2_n4_r1_linear,9,10,94.06,0.7945,ok,0.4666666666666667,0.4375,0.43540669856459335,0.43595769682726204
WESAD_binary_VQC,EfficientSU2,4,1,linear,EfficientSU2_n4_r1_linear,10,11,92.73,0.8047,ok,0.5084745762711864,0.5011520737327189,0.5012531328320802,0.49393670511682936
