task,feature_map,n_qubits,reps,entanglement,scaler,config,fold,test_subject,train_time,test_time,status,accuracy,precision,recall,f1
WESAD_binary_QSVM,ZZFeatureMap,3,1,full,robust,ZZFeatureMap_n3_r1_full_robust,2,3,2.66,0.0,ok,0.7017543859649122,0.716501240694789,0.7358108108108108,0.6984126984126984
WESAD_binary_QSVM,ZZFeatureMap,3,1,full,robust,ZZFeatureMap_n3_r1_full_robust,3,4,3.17,0.001,ok,0.9298245614035088,0.9337606837606838,0.9114864864864864,0.9210526315789473
WESAD_binary_QSVM,ZZFeatureMap,3,1,full,robust,ZZFeatureMap_n3_r1_full_robust,4,5,2.83,0.0013,ok,0.7457627118644068,0.7546082949308757,0.7833333333333333,0.7410008779631256
WESAD_binary_QSVM,ZZFeatureMap,3,1,full,robust,ZZFeatureMap_n3_r1_full_robust,5,6,3.01,0.0,ok,0.6271186440677966,0.7441860465116279,0.7105263157894737,0.6244212962962963
WESAD_binary_QSVM,ZZFeatureMap,3,1,full,robust,ZZFeatureMap_n3_r1_full_robust,6,7,3.02,0.0008,ok,0.3389830508474576,0.1694915254237288,0.5,0.25316455696202533
WESAD_binary_QSVM,ZZFeatureMap,3,1,full,robust,ZZFeatureMap_n3_r1_full_robust,7,8,2.84,0.0,ok,0.6101694915254238,0.6491545893719807,0.6547619047619048,0.6097210238711532
WESAD_binary_QSVM,ZZFeatureMap,3,1,full,robust,ZZFeatureMap_n3_r1_full_robust,8,9,3.0,0.001,ok,0.5,0.3769230769230769,0.4052631578947368,0.3859072654253377
WESAD_binary_QSVM,ZZFeatureMap,3,1,full,robust,ZZFeatureMap_n3_r1_full_robust,9,10,3.06,0.0012,ok,0.45,0.5849673202614379,0.5466507177033493,0.42290877295249196
WESAD_binary_QSVM,ZZFeatureMap,3,1,full,robust,ZZFeatureMap_n3_r1_full_robust,10,11,3.12,0.0,ok,0.4406779661016949,0.5151515151515151,0.512531328320802,0.43483309143686505
WESAD_binary_QSVM,ZZFeatureMap,3,1,full,robust,ZZFeatureMap_n3_r1_full_robust,11,13,3.07,0.001,ok,0.6440677966101694,0.75,0.7236842105263158,0.6424242424242423
WESAD_binary_QSVM,ZZFeatureMap,3,1,full,robust,ZZFeatureMap_n3_r1_full_robust,12,14,3.26,0.001,ok,0.576271186440678,0.5891203703703703,0.5964912280701754,0.5718432510885341
WESAD_binary_QSVM,ZZFeatureMap,3,1,full,robust,ZZFeatureMap_n3_r1_full_robust,13,15,2.55,0.0,ok,0.43333333333333335,0.475,0.47607655502392343,0.43270300333704115
WESAD_binary_QSVM,ZZFeatureMap,3,1,full,robust,ZZFeatureMap_n3_r1_full_robust,14,16,2.64,0.001,ok,0.8360655737704918,0.84375,0.8717948717948718,0.8338779956427015
WESAD_binary_QSVM,ZZFeatureMap,3,1,full,robust,ZZFeatureMap_n3_r1_full_robust,15,17,2.8,0.0,ok,0.8524590163934426,0.8417792792792793,0.847254004576659,0.8442553191489361
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,standard,ZZFeatureMap_n3_r1_circular_standard,1,2,2.71,0.0016,ok,0.08928571428571429,0.10561497326203209,0.08036984352773827,0.08666453469779341
